IOC,Type,Source,Description,Criticality,ConnectionType,USOM_ID,Date,AddedAt_UTC
bosporusfund.com,domain,IH,PH,4,PH,1124598,2026-06-08 15:11:09.40383,2026-06-08 16:13:49
turkishmarketwatch.com,domain,IH,PH,4,PH,1124596,2026-06-08 15:11:09.40383,2026-06-08 16:13:49
partishoptr.com,domain,IH,PH,4,PH,1124594,2026-06-08 15:11:09.40383,2026-06-08 16:13:49
otokocrentcar.com,domain,IH,PH,4,PH,1124592,2026-06-08 15:11:09.40383,2026-06-08 16:13:49
agactr.com,domain,IH,PH,4,PH,1124590,2026-06-08 15:11:09.40383,2026-06-08 16:13:49
101onlinemerkezlersistem.pages.dev,domain,IH,PH,4,PH,1124588,2026-06-08 15:11:09.40383,2026-06-08 16:13:49
avscarrental.net,domain,IH,PH,4,PH,1124586,2026-06-08 15:11:09.40383,2026-06-08 16:13:49
sparkwish.gifts,domain,IH,PH,4,PH,1124584,2026-06-08 15:11:09.40383,2026-06-08 16:13:49
turkeyeconomyinsights.com,domain,IH,PH,4,PH,1124582,2026-06-08 15:11:09.40383,2026-06-08 16:13:49
hzegcv.click,domain,IH,PH,4,PH,1124580,2026-06-08 15:11:09.40383,2026-06-08 16:13:49
cozycandles.gifts,domain,IH,PH,4,PH,1124578,2026-06-08 15:11:09.40383,2026-06-08 16:13:49
kocotomobil.com,domain,IH,PH,4,PH,1124576,2026-06-08 15:11:09.40383,2026-06-08 16:13:49
anatoliax.info,domain,IH,PH,4,PH,1124574,2026-06-08 15:11:09.40383,2026-06-08 16:13:49
turkeyinvestclub.com,domain,IH,PH,4,PH,1124572,2026-06-08 15:11:09.40383,2026-06-08 16:13:49
l38493.click,domain,IH,BP,4,PH,1124570,2026-06-08 15:08:39.984109,2026-06-08 16:13:49
maliidariceza.org,domain,SB,BP,4,PH,1124568,2026-06-08 15:04:00.841127,2026-06-08 16:13:49
izlemeyedevametlavuk.click,domain,IH,PH,4,PH,1124566,2026-06-08 14:47:46.901341,2026-06-08 16:13:49
cuygereteyesede.lat,domain,IH,BP,4,PH,1124564,2026-06-08 14:45:17.309137,2026-06-08 16:13:49
dijital-basvuruadres.sbs,domain,IH,BP,4,PH,1124562,2026-06-08 14:42:45.169527,2026-06-08 16:13:49
alsversyaptmsendeartkyapmalsn.online,domain,IH,BP,4,PH,1124560,2026-06-08 14:41:07.303163,2026-06-08 16:13:49
gokuryebasvuru.net,domain,IH,BP,4,PH,1124558,2026-06-08 14:40:22.696673,2026-06-08 16:13:49
yakupsahlukbey.click,domain,IH,BP,4,PH,1124556,2026-06-08 14:37:35.697762,2026-06-08 16:13:49
istcanban.xyz,domain,IH,BP,4,PH,1124554,2026-06-08 14:34:56.315372,2026-06-08 16:13:49
xn--aatszu-o9a.xyz,domain,IH,PH,4,PH,1124524,2026-06-08 14:23:35.458498,2026-06-08 16:13:49
haberler1230149.shop,domain,IH,BP,4,PH,1124522,2026-06-08 14:22:34.266545,2026-06-08 16:13:49
irm-loomer-kray.myonlineportal.ch,domain,IH,BP,4,PH,1124520,2026-06-08 14:20:36.31252,2026-06-08 16:13:49
yakuptvcezaevinde.click,domain,IH,BP,4,PH,1124518,2026-06-08 14:19:07.012244,2026-06-08 16:13:49
katymzua.xyz,domain,IH,BP,4,PH,1124516,2026-06-08 14:10:42.195537,2026-06-08 16:13:49
meherese317.com,domain,IH,BP,4,PH,1124514,2026-06-08 14:09:41.394143,2026-06-08 16:13:49
nlatlantlanlta.net,domain,IH,PH,4,PH,1124512,2026-06-08 13:54:26.103062,2026-06-08 16:13:49
ynlendnrnyosun7z8120.duckdns.org,domain,IH,BP,4,PH,1124508,2026-06-08 13:44:20.598835,2026-06-08 16:13:49
yakuptvscoter.click,domain,IH,PH,4,PH,1124502,2026-06-08 13:39:14.799809,2026-06-08 16:13:49
pitirpiti.click,domain,IH,BP,4,PH,1124500,2026-06-08 13:37:20.601239,2026-06-08 16:13:49
xjsdkx123xsadz1312x3123.xyz,domain,IH,BP,4,PH,1124498,2026-06-08 13:36:40.196933,2026-06-08 16:13:49
karagozototamir.com,domain,IH,PH,4,PH,1124496,2026-06-08 13:27:02.001595,2026-06-08 16:13:49
orsnvsyty.net,domain,IH,PH,4,PH,1124494,2026-06-08 13:25:41.897251,2026-06-08 16:13:49
dsakdlosaklfsqlf.net,domain,IH,PH,4,PH,1124492,2026-06-08 13:24:37.996157,2026-06-08 16:13:49
yhstore.top,domain,IH,PH,4,PH,1124490,2026-06-08 13:23:57.613301,2026-06-08 16:13:49
tiklaoyna.click,domain,IH,PH,4,PH,1124488,2026-06-08 13:19:13.001932,2026-06-08 16:13:49
brarldansansndandan.click,domain,IH,PH,4,PH,1124486,2026-06-08 13:17:11.501074,2026-06-08 16:13:49
istanbulbenimla.xyz,domain,IH,BP,4,PH,1124484,2026-06-08 13:05:34.099052,2026-06-08 13:16:35
hemmnislemnolnei.net,domain,IH,BP,4,PH,1124482,2026-06-08 13:04:16.09888,2026-06-08 13:16:35
hizsservisleri.click,domain,IH,PH,4,PH,1124480,2026-06-08 13:00:49.700477,2026-06-08 13:16:35
egebek.com.tr,domain,IH,PH,4,PH,1124478,2026-06-08 12:59:55.100474,2026-06-08 13:16:35
bolekcreative.com,domain,IH,PH,4,PH,1124476,2026-06-08 12:59:19.814219,2026-06-08 13:16:35
sahibinden.elektronik-urun-sepetim.com,domain,SB,BP,4,PH,1124474,2026-06-08 12:59:00.93319,2026-06-08 13:16:35
hhizservs.click,domain,IH,PH,4,PH,1124472,2026-06-08 12:58:39.897951,2026-06-08 13:16:35
arorabayisi.com,domain,IH,PH,4,PH,1124470,2026-06-08 12:56:42.501174,2026-06-08 13:16:35
taklasin.click,domain,IH,BP,4,PH,1124468,2026-06-08 12:56:16.702099,2026-06-08 13:16:35
elektronik-urun-sepetim.com,domain,IH,PH,4,PH,1124466,2026-06-08 12:54:37.898914,2026-06-08 13:16:35
xn--arkasakoskar-d5b.com,domain,IH,BP,4,PH,1124464,2026-06-08 12:38:57.107919,2026-06-08 13:16:35
mulukilopilede.lat,domain,IH,BP,4,PH,1124462,2026-06-08 12:37:34.799528,2026-06-08 13:16:35
open-garanti.info,domain,IH,BP,4,PH,1124460,2026-06-08 12:35:59.811156,2026-06-08 13:16:35
nltanalhemenl.net,domain,IH,BP,4,PH,1124458,2026-06-08 12:34:03.303776,2026-06-08 13:16:35
orsnvsysrna.net,domain,IH,BP,4,PH,1124456,2026-06-08 12:32:45.000092,2026-06-08 13:16:35
hukukdosyatakip.org,domain,IH,PH,4,PH,1124454,2026-06-08 12:21:33.622001,2026-06-08 13:16:35
dispatch.news7-days-info.org,domain,IH,PH,4,PH,1124452,2026-06-08 12:18:24.802477,2026-06-08 13:16:35
istanbuldurbizim.xyz,domain,IH,PH,4,PH,1124450,2026-06-08 12:15:02.303667,2026-06-08 13:16:35
guncelnotlistesi.com,domain,IH,BP,4,PH,1124448,2026-06-08 12:07:59.711825,2026-06-08 13:16:35
ep6pheij.com,domain,SB,MD,8,OT,1124446,2026-06-08 11:56:16.61035,2026-06-08 13:16:35
business-data-leaks.com,domain,SB,MD,8,OT,1124444,2026-06-08 11:56:16.61035,2026-06-08 13:16:35
r99sadhashdh9asdhahsdsk2.click,domain,IH,BP,4,PH,1124440,2026-06-08 11:38:07.095561,2026-06-08 13:16:35
mundial2026.click,domain,IH,BP,4,PH,1124418,2026-06-08 11:35:10.696639,2026-06-08 13:16:35
