IOC,Type,Source,Description,Criticality,ConnectionType,USOM_ID,Date,AddedAt_UTC
64.176.85.158,ip,SB,MC,8,OT,1120150,2026-05-21 11:44:57.23233,2026-05-21 15:43:35
45.77.13.67,ip,SB,MC,8,OT,1120146,2026-05-21 11:41:44.531589,2026-05-21 15:43:35
172.245.95.146,ip,SO,CA,8,OT,1119926,2026-05-20 14:47:58.232829,2026-05-21 11:13:29
43.128.120.247,ip,SO,CA,8,OT,1119924,2026-05-20 14:47:40.329045,2026-05-21 11:13:29
43.135.145.61,ip,SO,CA,8,OT,1119922,2026-05-20 14:43:34.833512,2026-05-21 11:13:29
47.121.185.1,ip,SO,CA,8,OT,1119920,2026-05-20 14:43:34.833512,2026-05-21 11:13:29
152.32.188.174,ip,SO,CA,8,OT,1119918,2026-05-20 14:43:34.833512,2026-05-21 11:13:29
49.51.253.65,ip,SO,CA,8,OT,1119916,2026-05-20 14:43:34.833512,2026-05-21 11:13:29
115.247.181.68,ip,SO,CA,8,OT,1119914,2026-05-20 14:43:34.833512,2026-05-21 11:13:29
167.172.152.94,ip,SO,CA,8,OT,1119912,2026-05-20 14:43:34.833512,2026-05-21 11:13:29
154.23.186.99,ip,SB,MD,8,OT,1119812,2026-05-20 08:27:09.272966,2026-05-21 11:13:29
80.200.28.28,ip,SB,MI,8,OT,1119806,2026-05-20 08:22:23.210432,2026-05-21 11:13:29
185.241.208.243,ip,SB,MI,6,OT,1119800,2026-05-20 08:17:22.133186,2026-05-21 11:13:29
162.141.111.227,ip,SB,MC,8,OT,1119776,2026-05-20 07:30:48.809274,2026-05-21 11:13:29
24.199.90.58,ip,SB,MC,8,OT,1119772,2026-05-20 07:30:48.809274,2026-05-21 11:13:29
193.228.131.161,ip,SB,MC,8,OT,1119320,2026-05-18 16:41:31.19084,2026-05-21 11:13:29
50.118.198.26,ip,SB,MC,8,OT,1119318,2026-05-18 16:41:31.19084,2026-05-21 11:13:29
138.249.139.6,ip,SB,MC,8,OT,1119316,2026-05-18 16:41:31.19084,2026-05-21 11:13:29
166.1.255.233,ip,SB,MC,8,OT,1119314,2026-05-18 16:41:31.19084,2026-05-21 11:13:29
185.225.69.212,ip,SB,MC,8,OT,1119312,2026-05-18 16:31:01.076723,2026-05-21 11:13:29
202.181.177.177,ip,SB,MC,8,OT,1119074,2026-05-18 08:30:05.896194,2026-05-21 11:13:29
37.16.75.69,ip,SB,MC,8,OT,1119066,2026-05-18 08:22:50.933261,2026-05-21 11:13:29
91.229.8.152,ip,SB,CA,4,OT,1118540,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
185.221.216.189,ip,SB,CA,4,OT,1118538,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
182.92.133.114,ip,SB,CA,4,OT,1118536,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
171.231.185.56,ip,SB,CA,4,OT,1118534,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
177.212.147.128,ip,SB,CA,4,OT,1118532,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
212.199.105.109,ip,SB,CA,4,OT,1118530,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
43.134.25.139,ip,SB,CA,4,OT,1118528,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
179.179.197.196,ip,SB,CA,4,OT,1118526,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
43.226.37.138,ip,SB,CA,4,OT,1118524,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
168.144.95.207,ip,SB,CA,4,OT,1118522,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
180.76.185.72,ip,SB,CA,4,OT,1118520,2026-05-15 17:07:15.509414,2026-05-21 11:13:29
